date	pieacoulisse	Miaimbouchon	BOUCENNA	fdn4444	miled	Caroline-637442	Pompottewi	Arsuol	Yves-Marie	giso
2021-12-25	480.0	110.0	15.0	225.0	75.0	175.0	115.0	165.0	865.0	0.0
2021-12-26	480.0	110.0	15.0	335.0	75.0	175.0	115.0	165.0	895.0	0.0
2021-12-27	480.0	110.0	15.0	400.0	75.0	175.0	115.0	165.0	955.0	0.0
2021-12-28	480.0	110.0	15.0	595.0	75.0	175.0	115.0	165.0	955.0	0.0
2021-12-29	480.0	110.0	15.0	595.0	75.0	175.0	115.0	165.0	955.0	0.0
2021-12-30	480.0	110.0	15.0	610.0	75.0	175.0	115.0	165.0	955.0	0.0
2021-12-31	480.0	110.0	15.0	610.0	75.0	175.0	115.0	165.0	955.0	0.0
2022-01-01	480.0	110.0	15.0	650.0	75.0	175.0	115.0	165.0	955.0	0.0
2022-01-02	480.0	110.0	15.0	650.0	75.0	175.0	115.0	165.0	955.0	0.0
2022-01-03	480.0	110.0	15.0	650.0	75.0	175.0	190.0	165.0	955.0	0.0
2022-01-04	480.0	110.0	15.0	705.0	75.0	175.0	190.0	165.0	965.0	0.0
2022-01-05	560.0	110.0	15.0	705.0	75.0	235.0	250.0	165.0	990.0	0.0
2022-01-06	580.0	110.0	15.0	735.0	85.0	260.0	275.0	165.0	990.0	0.0
2022-01-07	595.0	110.0	15.0	735.0	130.0	260.0	275.0	165.0	1070.0	0.0
2022-01-08	620.0	110.0	15.0	765.0	130.0	260.0	275.0	165.0	1070.0	0.0
2022-01-09	655.0	110.0	15.0	905.0	130.0	260.0	275.0	165.0	1070.0	0.0
2022-01-10	675.0	110.0	15.0	905.0	130.0	260.0	275.0	165.0	1070.0	0.0
2022-01-11	675.0	110.0	15.0	950.0	130.0	260.0	275.0	165.0	1090.0	0.0
2022-01-12	740.0	110.0	15.0	950.0	130.0	260.0	275.0	225.0	1130.0	0.0
2022-01-13	760.0	190.0	200.0	950.0	150.0	400.0	400.0	255.0	1155.0	10.0
2022-01-14	860.0	190.0	225.0	950.0	150.0	400.0	400.0	285.0	1295.0	10.0
2022-01-15	860.0	190.0	235.0	950.0	150.0	400.0	400.0	285.0	1325.0	10.0
2022-01-16	860.0	190.0	235.0	950.0	150.0	400.0	400.0	285.0	1325.0	10.0
2022-01-17	860.0	235.0	235.0	1015.0	150.0	400.0	400.0	285.0	1325.0	10.0
2022-01-18	860.0	235.0	290.0	1015.0	150.0	400.0	400.0	310.0	1325.0	10.0
2022-01-19	1000.0	295.0	325.0	1015.0	150.0	450.0	450.0	340.0	1325.0	60.0
2022-01-20	1030.0	295.0	380.0	1015.0	150.0	450.0	450.0	370.0	1325.0	60.0
